,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
5421,06053012402,06,053,12402,3403,1615,3403,2615,57,103,380,718,263,629,1615,36,53,57,81,50,42,94,77,82,107,57,65,79,12,53,49,76,65,90,46,107,112,75,10,35206,1613,764,749,326200
5422,06053012500,06,053,12500,5729,2574,5729,4078,363,246,826,1061,359,756,2574,120,147,74,76,174,109,85,141,165,152,166,83,150,49,60,110,53,54,188,127,200,44,26,0,30663,2533,867,720,226400
5423,06053012599,06,053,12599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5424,06053012600,06,053,12600,2900,86,2900,634,0,14,93,240,51,178,86,0,0,0,11,0,0,7,27,5,0,0,0,8,0,0,0,0,7,0,6,8,7,0,0,24815,91,0,567,0
5425,06053012700,06,053,12700,2982,1384,2982,2155,177,243,386,446,193,417,1384,79,81,83,58,77,90,78,50,57,104,80,31,67,57,48,39,60,42,47,58,50,36,6,6,28438,1417,426,689,244600
5426,06053012800,06,053,12800,5481,2287,5481,4383,124,338,888,861,358,834,2287,19,99,64,8,52,62,58,64,68,64,67,52,76,116,77,66,103,65,77,111,343,255,140,17,48596,2271,1683,849,304300
5427,06053012900,06,053,12900,585,329,585,407,78,35,64,84,30,93,329,15,89,22,15,8,23,32,9,15,12,41,5,0,6,6,16,8,0,7,0,0,0,0,0,19185,352,29,531,168800
5428,06053013000,06,053,13000,3069,1732,3069,2413,67,111,351,551,196,656,1732,79,64,125,85,90,56,74,59,148,90,75,101,68,55,111,15,54,11,78,55,111,50,31,9,29889,1765,303,736,303300
5429,06053013100,06,053,13100,3438,893,3438,1852,8,0,93,245,142,1083,893,6,0,0,8,0,0,0,6,6,28,104,71,124,84,55,86,40,45,68,46,87,29,0,0,40432,871,0,797,0
5430,06053013200,06,053,13200,3695,1365,3695,2599,85,131,352,626,183,537,1365,30,8,12,21,15,20,8,23,17,21,65,40,41,30,67,18,76,28,84,69,198,212,93,54,59178,1336,1120,977,381900
5431,06053013300,06,053,13300,5857,2745,5857,4130,150,405,996,998,237,973,2745,60,259,66,94,143,102,151,88,235,108,242,129,98,132,96,108,120,30,104,33,120,131,37,21,30687,2763,716,671,195200
