,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
37,2670,2212,1148,886,262,53,033,003900,53033003900,1961,360,142,54,74,446,161,25,20,304700,807,1156,58114,35,45,6,58,63,53,64,25,69,203,120,196,97,35,39,48
38,2385,1985,1161,852,309,53,033,004000,53033004000,1824,246,92,135,129,331,169,64,58,326400,803,1138,54833,64,14,29,90,69,39,93,87,25,106,80,138,114,52,90,48
39,7505,6383,3026,2227,799,53,033,004100,53033004100,5210,745,468,546,254,1227,520,221,92,502800,744,3038,81866,108,97,126,103,92,134,72,135,90,230,266,326,269,250,181,559
40,7202,6061,3132,2228,904,53,033,004200,53033004200,5283,851,377,260,284,978,560,133,128,300700,880,3131,65136,91,133,98,65,87,130,187,88,181,348,319,489,407,148,173,187
41,6132,4757,2599,805,1794,53,033,004300,53033004300,3254,571,360,73,223,709,272,24,124,302000,732,2607,30516,441,259,196,208,177,137,173,78,40,151,230,247,102,73,61,34
42,5740,4382,2482,714,1768,53,033,004400,53033004400,3395,640,429,70,197,562,332,98,64,346400,640,2471,40984,279,176,178,149,171,145,106,137,76,158,190,256,179,88,88,95
43,2414,2047,948,570,378,53,033,004500,53033004500,1769,362,100,31,25,462,102,35,0,263200,1149,980,68300,7,22,32,44,27,60,55,36,30,93,175,176,104,74,28,17
44,3023,2647,1371,873,498,53,033,004600,53033004600,2257,532,125,66,72,462,261,71,13,318500,954,1344,62159,62,52,45,70,85,33,49,103,63,91,115,198,166,99,62,51
45,4916,4014,2850,609,2241,53,033,004700,53033004700,3937,542,151,27,36,614,239,55,20,198300,691,2854,34667,285,203,218,209,296,228,224,199,111,243,305,231,37,50,6,9
46,4325,3709,2140,1115,1025,53,033,004800,53033004800,3488,625,166,67,37,745,284,8,36,266600,855,2143,53948,72,92,78,106,97,144,125,79,156,246,284,388,127,84,57,8
47,5525,4781,3335,741,2594,53,033,004900,53033004900,4487,905,293,112,111,932,329,102,77,252400,748,3329,38858,342,262,107,181,273,254,293,264,220,228,335,320,99,62,39,50
48,3252,2758,1698,485,1213,53,033,005000,53033005000,2558,521,186,50,79,528,226,9,34,304500,786,1695,45826,65,77,81,112,86,167,147,93,83,185,179,184,98,58,31,49
49,3453,2969,1589,896,693,53,033,005100,53033005100,2616,453,254,64,55,583,382,67,20,337900,845,1561,61995,54,41,103,74,55,65,71,64,113,103,234,210,180,80,25,89
