,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
6089,06065043502,06,065,43502,8338,3318,8338,5873,656,1199,1854,1260,338,381,3318,155,327,262,193,248,206,232,150,125,161,186,138,129,72,125,76,33,45,170,90,102,40,24,13,23100,3421,2729,508,102400
6090,06065043600,06,065,43600,7501,2474,7501,4184,940,964,1028,751,242,122,2474,181,422,166,142,175,193,172,61,164,86,143,78,67,92,68,36,33,23,84,7,25,48,8,0,19456,2468,1209,447,76100
6091,06065043700,06,065,43700,9322,4165,9322,7214,556,1419,2346,1606,455,545,4165,169,424,403,331,250,271,288,164,234,129,156,115,123,134,110,57,94,43,137,55,198,161,60,10,22036,4214,3640,493,125000
6092,06065043802,06,065,43802,4647,1924,4647,3252,237,746,968,795,154,211,1924,88,181,89,94,77,133,51,96,87,96,129,102,89,49,21,46,47,31,40,58,141,114,26,24,29219,1879,1478,499,120300
6093,06065043803,06,065,43803,8656,3450,8656,6204,650,793,1967,1570,493,406,3450,98,476,173,165,165,93,154,159,206,130,169,103,161,67,112,70,119,71,151,99,227,188,19,20,28192,3432,2763,454,128700
6094,06065043805,06,065,43805,3137,1199,3137,1985,211,391,585,429,198,119,1199,57,203,56,88,26,34,54,85,75,46,22,16,63,28,6,38,38,34,80,67,44,30,9,0,24897,1146,753,428,111800
6095,06065043806,06,065,43806,4806,2061,4806,3647,287,867,1091,737,253,221,2061,89,340,155,135,120,107,89,94,107,81,81,63,80,50,69,36,41,27,68,42,89,48,28,6,22374,2062,1746,375,127800
6096,06065043900,06,065,43900,4873,1626,4873,2943,339,487,826,787,191,183,1626,54,151,80,136,104,89,67,60,46,56,93,52,86,30,73,52,37,54,45,44,105,92,7,0,28661,1702,1115,503,87600
6097,06065044000,06,065,44000,1850,772,1850,1056,216,243,293,208,29,58,772,108,157,64,51,34,53,78,38,48,46,0,28,0,18,11,28,0,0,10,0,0,0,0,0,15441,737,281,440,77900
6098,06065044100,06,065,44100,10511,4043,10511,7186,736,1586,2131,1620,381,429,4043,202,580,220,228,256,257,278,157,106,194,219,108,167,112,91,60,99,65,141,100,285,48,34,15,22508,4108,2816,458,84500
