,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
643,4018,3400,1508,1274,234,39,093,071300,39093071300,2443,66,49,11,12,113,40,0,7,104900,444,1519,43882,162,85,55,136,96,63,71,117,78,189,218,189,33,2,25,0
644,3731,1809,1305,647,658,39,093,071400,39093071400,2078,71,13,0,0,52,28,0,0,74700,475,1297,32589,213,103,83,102,77,138,72,87,62,113,141,71,12,18,0,5
645,2046,1814,636,529,107,39,093,071500,39093071500,1413,29,10,11,0,42,7,0,0,125700,567,641,47863,6,12,44,44,46,42,55,46,52,72,96,55,10,25,16,20
646,3371,3278,1281,1157,124,39,093,077100,39093077100,2429,134,29,40,0,120,51,21,0,144400,649,1281,58191,28,44,48,68,66,76,65,72,59,142,189,236,91,43,32,22
647,2382,2275,922,874,48,39,093,080101,39093080101,1709,93,52,23,0,89,14,0,0,119700,764,949,50469,32,34,50,20,50,27,75,102,77,133,132,128,52,15,7,15
648,8160,7712,3014,2511,503,39,093,080102,39093080102,5220,298,85,10,0,273,90,17,7,120400,534,2983,55262,92,94,111,152,163,143,135,193,169,413,474,463,222,71,50,38
649,2195,2105,759,645,114,39,093,080500,39093080500,1572,62,3,6,0,63,6,0,0,132600,623,758,52012,43,0,40,80,17,58,43,33,32,103,110,106,45,32,16,0
650,6037,5753,2345,2158,187,39,093,080600,39093080600,4274,340,66,6,8,256,79,21,0,132500,528,2353,51489,116,83,78,113,149,127,124,162,156,280,283,352,227,56,17,30
651,3564,3381,1316,1229,87,39,093,080700,39093080700,2500,182,52,9,12,157,62,4,5,144600,447,1305,64904,13,33,51,60,47,78,53,57,55,143,230,254,141,36,49,5
652,3333,3265,1167,1065,102,39,093,090100,39093090100,2243,158,36,35,5,134,45,10,17,146700,775,1163,59770,22,15,49,68,64,47,43,102,68,107,186,156,117,56,22,41
653,3579,3474,1221,1101,120,39,093,090200,39093090200,2370,121,32,0,11,148,59,8,0,169300,604,1220,55972,35,26,42,54,56,89,84,90,58,99,142,234,100,39,36,36
