,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
1521,2416.0,2231.0,1498.0,426.0,206.0,243.0,354.0,47.0,425.0,279.0,129300.0,307.0,12095.0,314.0,1176.0,283.0,373.0,111.0,59.0,70.0,62.0,25.0,44.0,30.0,6.0,31.0,8.0,47.0,18.0,46.0,18.0,45.0,10.0,31.0,15.0,46.0,35.0,14.0,47.0,24.0,47,157,007300,47157007300
1522,3187.0,2823.0,1479.0,84.0,213.0,469.0,565.0,80.0,393.0,188.0,54800.0,390.0,22144.0,755.0,722.0,171.0,148.0,86.0,56.0,76.0,103.0,116.0,68.0,76.0,77.0,97.0,55.0,50.0,54.0,43.0,32.0,8.0,23.0,70.0,21.0,19.0,21.0,9.0,0.0,0.0,47,157,007400,47157007400
1523,2086.0,0.0,689.0,194.0,439.0,343.0,236.0,0.0,63.0,21.0,41200.0,391.0,19482.0,511.0,163.0,101.0,82.0,41.0,27.0,61.0,41.0,55.0,16.0,21.0,45.0,24.0,14.0,37.0,7.0,20.0,11.0,28.0,7.0,10.0,5.0,25.0,11.0,0.0,0.0,0.0,47,157,007500,47157007500
1524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,157,007600,47157007600
1525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,157,007700,47157007700
1526,4178.0,22.0,1521.0,494.0,693.0,637.0,426.0,121.0,64.0,61.0,36000.0,295.0,11820.0,629.0,941.0,393.0,243.0,171.0,93.0,81.0,82.0,91.0,57.0,39.0,30.0,49.0,44.0,19.0,6.0,19.0,16.0,19.0,0.0,10.0,12.0,23.0,15.0,5.0,0.0,4.0,47,157,007810,47157007810
1527,9549.0,505.0,3231.0,748.0,1184.0,1524.0,1001.0,208.0,607.0,369.0,44400.0,328.0,19054.0,2043.0,1198.0,591.0,371.0,232.0,101.0,231.0,144.0,201.0,116.0,101.0,83.0,133.0,123.0,60.0,59.0,83.0,33.0,78.0,85.0,105.0,77.0,109.0,81.0,34.0,0.0,0.0,47,157,007820,47157007820
1528,7508.0,745.0,2524.0,436.0,1087.0,1204.0,1013.0,227.0,198.0,119.0,44400.0,359.0,20443.0,1482.0,1058.0,241.0,374.0,157.0,104.0,139.0,216.0,175.0,124.0,97.0,75.0,143.0,95.0,63.0,109.0,87.0,34.0,28.0,45.0,47.0,62.0,85.0,19.0,0.0,5.0,0.0,47,157,007900,47157007900
1529,4714.0,3811.0,2161.0,184.0,629.0,936.0,817.0,152.0,433.0,261.0,50100.0,375.0,22378.0,1432.0,740.0,73.0,300.0,187.0,83.0,149.0,162.0,133.0,134.0,103.0,96.0,99.0,69.0,98.0,45.0,102.0,77.0,33.0,33.0,50.0,45.0,73.0,10.0,0.0,7.0,0.0,47,157,008000,47157008000
1530,4509.0,225.0,1376.0,405.0,684.0,704.0,310.0,148.0,38.0,25.0,37300.0,366.0,15394.0,593.0,798.0,245.0,229.0,109.0,85.0,127.0,77.0,72.0,89.0,79.0,51.0,63.0,44.0,26.0,24.0,10.0,6.0,13.0,0.0,7.0,6.0,6.0,0.0,0.0,8.0,0.0,47,157,008110,47157008110
1531,6792.0,580.0,2521.0,481.0,1045.0,1080.0,770.0,137.0,215.0,188.0,43800.0,306.0,17166.0,1225.0,1296.0,299.0,382.0,247.0,109.0,258.0,109.0,115.0,116.0,127.0,49.0,103.0,71.0,22.0,68.0,62.0,81.0,49.0,43.0,60.0,77.0,39.0,35.0,0.0,0.0,0.0,47,157,008120,47157008120
1532,5556.0,2121.0,1997.0,262.0,715.0,1118.0,581.0,148.0,134.0,58.0,42900.0,374.0,18602.0,1009.0,967.0,227.0,271.0,177.0,150.0,114.0,135.0,109.0,62.0,85.0,100.0,61.0,85.0,94.0,83.0,69.0,34.0,39.0,23.0,28.0,0.0,36.0,9.0,6.0,0.0,0.0,47,157,008200,47157008200
1533,4848.0,4481.0,2024.0,257.0,562.0,1095.0,816.0,107.0,393.0,187.0,55400.0,379.0,29554.0,1529.0,516.0,71.0,166.0,118.0,119.0,84.0,95.0,69.0,79.0,119.0,112.0,64.0,89.0,100.0,60.0,114.0,67.0,129.0,7.0,62.0,37.0,158.0,67.0,26.0,0.0,12.0,47,157,008300,47157008300
1534,311.0,186.0,101.0,0.0,0.0,23.0,29.0,23.0,20.0,56.0,0.0,380.0,14327.0,0.0,111.0,0.0,29.0,12.0,13.0,4.0,5.0,20.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,47,157,008400,47157008400
1535,4009.0,3960.0,1819.0,60.0,130.0,472.0,834.0,65.0,912.0,736.0,182500.0,600.0,56198.0,1514.0,316.0,49.0,151.0,17.0,27.0,57.0,53.0,24.0,39.0,60.0,20.0,39.0,13.0,42.0,31.0,84.0,20.0,48.0,36.0,84.0,61.0,167.0,174.0,112.0,76.0,335.0,47,157,008500,47157008500
1536,5859.0,5506.0,2555.0,113.0,346.0,898.0,1086.0,127.0,1035.0,714.0,107100.0,376.0,37525.0,1902.0,667.0,121.0,230.0,40.0,105.0,81.0,84.0,66.0,75.0,88.0,121.0,84.0,56.0,126.0,50.0,79.0,70.0,74.0,82.0,126.0,107.0,209.0,194.0,87.0,61.0,139.0,47,157,008600,47157008600
1537,4494.0,4333.0,1992.0,246.0,531.0,1464.0,658.0,197.0,128.0,100.0,53100.0,373.0,27467.0,1497.0,518.0,93.0,222.0,83.0,108.0,193.0,75.0,61.0,87.0,75.0,24.0,124.0,85.0,142.0,108.0,49.0,51.0,82.0,6.0,85.0,75.0,117.0,31.0,7.0,9.0,0.0,47,157,008700,47157008700
1538,6196.0,6007.0,2471.0,500.0,969.0,1798.0,566.0,182.0,129.0,22.0,42800.0,389.0,23117.0,1875.0,579.0,191.0,172.0,151.0,108.0,232.0,133.0,210.0,156.0,89.0,141.0,175.0,113.0,71.0,61.0,101.0,76.0,57.0,48.0,88.0,24.0,50.0,16.0,8.0,0.0,0.0,47,157,008800,47157008800
1539,4974.0,3122.0,1823.0,331.0,825.0,1033.0,525.0,95.0,58.0,58.0,41300.0,351.0,20531.0,935.0,959.0,95.0,317.0,131.0,87.0,126.0,126.0,139.0,104.0,136.0,111.0,110.0,17.0,67.0,30.0,47.0,27.0,23.0,13.0,20.0,44.0,33.0,20.0,0.0,0.0,0.0,47,157,008900,47157008900
1540,2444.0,4.0,844.0,440.0,373.0,382.0,160.0,40.0,13.0,24.0,25800.0,270.0,12247.0,483.0,338.0,223.0,119.0,89.0,59.0,74.0,53.0,18.0,42.0,34.0,13.0,26.0,15.0,15.0,5.0,5.0,6.0,16.0,5.0,12.0,7.0,8.0,0.0,0.0,0.0,0.0,47,157,009000,47157009000
1541,2374.0,2293.0,939.0,147.0,387.0,639.0,317.0,35.0,68.0,38.0,50800.0,376.0,25788.0,706.0,267.0,40.0,61.0,78.0,58.0,52.0,81.0,66.0,19.0,46.0,32.0,63.0,67.0,29.0,6.0,81.0,38.0,29.0,5.0,25.0,20.0,6.0,25.0,5.0,0.0,7.0,47,157,009100,47157009100
1542,6260.0,6060.0,2635.0,147.0,341.0,1190.0,1280.0,159.0,991.0,670.0,88600.0,542.0,38089.0,2378.0,258.0,73.0,141.0,127.0,75.0,84.0,134.0,45.0,73.0,75.0,107.0,174.0,89.0,92.0,121.0,70.0,99.0,93.0,50.0,166.0,129.0,304.0,143.0,80.0,36.0,55.0,47,157,009200,47157009200
1543,4641.0,4454.0,2126.0,113.0,322.0,1106.0,922.0,128.0,670.0,342.0,65300.0,552.0,31993.0,1760.0,365.0,58.0,75.0,96.0,92.0,135.0,91.0,160.0,76.0,75.0,146.0,74.0,88.0,75.0,71.0,73.0,69.0,119.0,12.0,108.0,156.0,89.0,94.0,48.0,8.0,38.0,47,157,009300,47157009300
