,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
62,3674.0,2876.0,1598.0,121.0,483.0,689.0,482.0,176.0,95.0,30.0,50700.0,406.0,20044.0,582.0,1030.0,125.0,232.0,91.0,105.0,145.0,99.0,113.0,135.0,85.0,54.0,95.0,35.0,28.0,41.0,42.0,32.0,26.0,14.0,17.0,20.0,45.0,19.0,0.0,0.0,0.0,08,001,009318,08001009318
63,4953.0,4159.0,1727.0,82.0,390.0,1154.0,890.0,193.0,312.0,123.0,70200.0,510.0,33481.0,1328.0,436.0,16.0,51.0,77.0,45.0,97.0,68.0,117.0,67.0,121.0,48.0,111.0,116.0,108.0,64.0,85.0,87.0,65.0,50.0,86.0,67.0,124.0,33.0,5.0,6.0,13.0,08,001,009401,08001009401
64,3025.0,2646.0,1011.0,5.0,14.0,483.0,509.0,265.0,412.0,142.0,105500.0,589.0,53381.0,903.0,114.0,0.0,11.0,10.0,0.0,5.0,5.0,17.0,31.0,36.0,30.0,26.0,52.0,67.0,16.0,50.0,36.0,45.0,18.0,72.0,142.0,209.0,107.0,12.0,6.0,8.0,08,001,009403,08001009403
65,5275.0,4584.0,1803.0,32.0,122.0,661.0,818.0,254.0,933.0,602.0,141000.0,721.0,64145.0,1446.0,336.0,18.0,10.0,5.0,15.0,7.0,13.0,44.0,36.0,48.0,24.0,23.0,27.0,86.0,8.0,41.0,39.0,64.0,53.0,117.0,93.0,375.0,409.0,158.0,30.0,60.0,08,001,009405,08001009405
66,3575.0,2977.0,1163.0,117.0,170.0,816.0,620.0,159.0,261.0,141.0,80500.0,696.0,44982.0,1050.0,94.0,18.0,13.0,30.0,0.0,18.0,6.0,19.0,61.0,58.0,22.0,43.0,63.0,65.0,57.0,39.0,70.0,65.0,75.0,78.0,103.0,139.0,100.0,13.0,0.0,8.0,08,001,009406,08001009406
67,5072.0,3855.0,1655.0,183.0,402.0,1106.0,695.0,270.0,209.0,90.0,74800.0,535.0,35148.0,1007.0,670.0,49.0,85.0,110.0,48.0,43.0,82.0,41.0,52.0,95.0,89.0,98.0,29.0,110.0,29.0,143.0,71.0,31.0,23.0,134.0,78.0,154.0,36.0,19.0,6.0,0.0,08,001,009407,08001009407
68,2814.0,1888.0,1046.0,110.0,336.0,684.0,420.0,109.0,45.0,47.0,67700.0,360.0,25957.0,659.0,422.0,88.0,109.0,60.0,32.0,47.0,42.0,66.0,61.0,47.0,51.0,63.0,29.0,53.0,31.0,34.0,69.0,49.0,43.0,16.0,27.0,5.0,24.0,0.0,0.0,0.0,08,001,009501,08001009501
69,3255.0,2169.0,1327.0,301.0,415.0,910.0,393.0,98.0,129.0,77.0,69100.0,405.0,25801.0,957.0,281.0,56.0,142.0,69.0,57.0,82.0,72.0,75.0,90.0,64.0,39.0,66.0,43.0,57.0,65.0,60.0,46.0,21.0,44.0,54.0,30.0,60.0,29.0,0.0,0.0,6.0,08,001,009502,08001009502
70,2636.0,1859.0,963.0,175.0,251.0,774.0,367.0,51.0,74.0,30.0,69100.0,331.0,27393.0,698.0,361.0,7.0,78.0,64.0,55.0,69.0,44.0,62.0,69.0,35.0,59.0,61.0,38.0,27.0,30.0,52.0,15.0,28.0,19.0,25.0,42.0,43.0,32.0,9.0,0.0,0.0,08,001,009553,08001009553
71,5389.0,4470.0,2125.0,113.0,429.0,1050.0,783.0,288.0,293.0,177.0,69500.0,426.0,29044.0,910.0,1265.0,89.0,118.0,89.0,130.0,110.0,132.0,115.0,79.0,148.0,85.0,109.0,155.0,106.0,79.0,91.0,127.0,38.0,39.0,45.0,94.0,96.0,51.0,0.0,0.0,0.0,08,001,009603,08001009603
