,FIPS,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,trtid_base,trtid90
0,6001400100.0,2660.1789254715677,2264.522493295297,1215.3002509315572,17.58473031894536,31.261742789236198,87.9236515947268,316.5251457410165,74.24663912443597,681.8967645902146,947.6215782987223,361268.5151081108,977.9063916257949,81198.46917719237,1074.6224083799943,109.4160997623267,6.838506235145418,26.377095478418042,13.677012470290837,7.8154356973090495,10.746224083799943,18.561659781108993,7.8154356973090495,32.23867225139983,13.677012470290837,8.79236515947268,32.23867225139983,26.377095478418042,24.42323655409078,28.330954402745306,18.561659781108993,14.653941932454467,12.700083008127205,11.723153545963575,56.66190880549061,28.330954402745306,127.97775954343568,199.29361028138075,127.97775954343568,117.23153545963574,242.27850661658053,06,001,400100,6001400100,6001400100.0
1,6001400200.0,2031.380706204567,1696.4828043450543,875.7330209818901,15.995123670902103,18.994209359196248,164.94971285617794,220.9326457043353,57.982323307020124,468.8570626033179,526.839385910338,346794.2750897462,681.7921464722021,46497.824511312414,474.8552339799062,424.8704725083371,5.998171376588289,34.98933303009835,35.98902825952973,23.992685506353155,69.9786660601967,3.998780917725526,32.98994257123559,7.997561835451052,40.98750440668664,14.995428441470722,25.992075965215918,36.988723488961114,19.99390458862763,26.9917711946473,22.992990276921773,6.99786660601967,42.9868948655494,35.98902825952973,25.992075965215918,17.994514129764866,78.97592312507913,131.95977028494235,69.9786660601967,10.996647523745196,48.98506624213769,06,001,400200,6001400200,6001400200.0
2,6001400300.0,5008.619334315591,3597.5172276826024,2462.2669974246314,136.00487694711776,257.0057916703627,486.0502906797411,641.0673590008629,139.01767783734616,1162.142946767963,911.1606233979003,259605.7299843033,532.207863570875,32639.176162297506,1013.1447750039481,1457.1295372345596,145.00182914618566,308.01066835432727,98.01097248706358,46.00731493152126,93.02133508948829,98.00121943491834,140.0100582684536,101.00243857572426,47.01249624356934,61.004571932044215,88.00792462730898,120.01127733805336,91.00609593931951,34.008229243008834,99.0070103127255,95.00213377426918,77.01310590220602,48.01097233226757,151.00792482235195,53.00548625591547,110.02407818803479,246.0402321016955,97.02133510187198,0.0033526116749271755,16.014934410632126,06,001,400300,12002800500,12002800500.0
3,6001400400.0,3856.99999783912,2467.9999986173057,1782.9999990010763,43.99999997534905,172.99999990307694,309.99999982632283,472.9999997350023,153.99999991372167,817.9999995417164,708.9999996027835,238199.99986654872,606.9999996599289,31106.99998257234,662.999999628555,1114.9999993753224,90.99999994901735,127.99999992828815,69.99999996078257,97.99999994509561,104.99999994117387,41.999999976469546,70.99999996022233,81.99999995405959,38.99999997815029,114.99999993557138,113.99999993613163,78.99999995574034,74.99999995798133,47.99999997310805,61.99999996526457,48.999999972547805,15.999999991036018,30.999999982632286,92.99999994789685,40.999999977029795,158.99999991092042,96.99999994565586,57.999999967505566,19.99999998879502,0.0,06,001,400400,6001400400,6001400400.0
4,6001400500.0,3349.9999750999673,1087.999991913064,1480.9999889919557,159.9999988107447,309.99999769581785,403.9999969971304,429.9999968038764,124.9999990708943,572.9999957409794,195.99999854316226,150999.99887764032,528.9999960680246,22134.999835473962,572.9999957409794,909.9999932361105,160.99999880331185,228.99999829787836,88.99999933847674,65.99999950943219,76.99999942767089,56.9999995763278,71.99999946483511,49.99999962835772,70.99999947226796,34.9999997398504,100.9999992492826,40.99999969525333,37.999999717551866,30.999999769581787,47.99999964322341,27.999999791880324,29.999999777014633,14.999999888507316,36.99999972498471,51.99999961349203,84.99999936820812,49.99999962835772,6.999999947970081,10.999999918238698,0.0,06,001,400500,6001400500,6001400500.0
5,6001400600.0,1680.000012107484,383.00000276021814,710.0000051168535,72.00000051889218,233.00000167919274,242.00000174405426,228.00000164315855,103.00000074230408,159.0000011458869,82.00000059096054,158000.00113868006,543.0000039133118,20962.000151069693,297.00000214043024,432.00000311335305,48.000000345928115,166.00000119633475,42.000000302687106,18.000000129723045,47.000000338721286,14.0000001008957,52.00000037475546,19.00000013692988,55.00000039637597,27.000000194584565,19.00000013692988,7.00000005044785,0.0,13.000000093688865,8.000000057654686,29.000000208998237,30.000000216205073,21.000000151343553,10.000000072068358,35.00000025223925,35.00000025223925,15.000000108102537,0.0,0.0,0.0,06,001,400600,6001400600,6001400600.0
6,6001400700.0,4214.5355105660365,504.22977822967033,1722.4152966384606,416.0918771732122,532.1519518677193,755.236762761366,471.3825364388543,184.09099543157316,325.5583468696597,202.38077150785625,119362.94592818472,509.3162763526372,18340.754236705634,738.5353737380426,1019.890082469775,174.0985049502796,400.09320248808143,78.02164429025044,101.05698268167893,91.05609929186636,50.03268779881106,64.09894749896947,48.029153957440954,52.04638147680942,60.06537589459034,29.05433282405782,57.03798853116941,82.06140014301198,59.03887198037563,52.080394842912696,7.0406392945435625,63.05124044744363,26.046381669838762,32.076419403150965,43.06537602080183,97.12765983574619,42.065376028226034,6.032246393448779,0.01766928109260849,8.020319613862858,06,001,400700,12002825800,12002825800.0
7,6001400800.0,3225.7043288527116,510.950919492113,1202.6929733738957,300.3025476165077,361.738489537682,459.7706841816564,513.7894205805891,111.28381121020814,346.8584256119316,101.81277271729483,96219.96341462982,522.89471030481,20661.180551713907,461.52434576958643,777.3032100326802,134.81277271909565,206.3388322946524,80.41311548157753,58.65536384790841,70.44003196631311,42.386198994222624,56.02282644368949,112.84377924782405,52.87478577447881,21.699828618458913,71.55178795214043,28.68228033155259,30.605620920465604,10.619079162014845,26.134582427825148,10.592162676733578,40.83441104590207,41.40374728145637,18.726745103576473,35.71328686186352,17.740203346162538,28.036284684802173,5.1211241840385515,0.444122007140911,0.0,06,001,400800,12002824800,12002824800.0
8,6001400900.0,2412.6124959434364,450.93175985125134,946.7679535347481,291.83623155281884,282.39187485156265,445.8594710376913,242.5713579204584,106.26169489486365,175.71139766021318,104.36968435977403,133305.65334456682,451.3590123737954,19122.66972371881,390.7286273931405,598.5552261770589,67.81943699890248,168.46247848730678,52.468050299800694,81.34370489598325,47.77721723084503,75.24891432758427,38.21061393106641,60.41785930424469,14.148039002361962,28.101737258354913,32.95870032017441,46.661636322788,23.138200238849183,21.004208795919617,13.402332418039494,15.094355389387923,20.104910331402284,21.05749577476273,41.01194875413739,8.360432194352711,62.10392433873979,0.46391016875183083,0.2288205562086733,0.125381126689684,7.053645068093907,06,001,400900,12002826000,12002826000.0
9,6001401000.0,5379.857958627578,419.93432755662866,2161.3403152564943,441.4694212774814,551.1026256745499,824.2067687708189,1006.2761975016649,287.78716154230494,335.7516884660225,92.01358226182539,104738.86491505656,453.2158360343102,16764.091593787463,776.2422418471015,1417.400713990672,224.1607482761491,469.8565902731509,189.90037190206516,107.67546860426376,104.73886491505657,40.13358375249831,107.67546860426376,85.16150698700861,113.54867598267815,92.01358226182539,83.20377119420381,56.774337991339074,73.41509223017984,23.492829513657547,68.52075274816785,24.471697410059946,30.34490478847433,25.450565306462344,87.1192427798134,10.767546860426375,90.0558464690206,49.92226271652229,0.0,0.0,2.9366036892071934,06,001,401000,6001401000,6001401000.0
