,FIPS,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,trtid_base,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,trtid00
15,53033001500,2350.0,2152.0,1027.0,848.0,179.0,53,033,001500,53033001500,1882.0,294.0,104.0,75.0,40.0,263.0,120.0,31.0,18.0,333600.0,724.0,1055.0,63207.0,43.0,12.0,27.0,42.0,41.0,68.0,57.0,49.0,30.0,79.0,159.0,145.0,104.0,41.0,101.0,57.0,53033001500
16,53033001600,3946.0,3487.0,1753.0,1367.0,386.0,53,033,001600,53033001600,3014.0,445.0,89.0,104.0,27.0,535.0,146.0,83.0,23.0,356400.0,699.0,1739.0,61329.0,73.0,35.0,76.0,104.0,60.0,87.0,48.0,122.0,68.0,163.0,211.0,213.0,118.0,106.0,94.0,161.0,53033001600
17,53033001701,3364.0000000000036,2415.955424274976,1543.7905477980682,812.5451127819558,731.2454350161125,53,033,001701,53033001700,2485.5118152524196,360.88023630504875,64.1364124597208,35.68152524167566,15.808270676691746,335.58700322234193,112.91621911922677,15.35660580021484,4.064983888292163,84280.66595059086,328.8120300751883,1543.3388829215914,19166.85069817403,94.39795918367358,112.46455424274986,49.683136412459774,76.3313641245973,113.81954887218058,115.62620837808821,114.7228786251344,124.65950590762635,72.26638023630512,190.60257787325477,194.21589688507004,177.05263157894757,78.58968850698183,11.743286788399583,4.968313641245977,12.194951664876491,53033001700
18,53033001702,4083.999999999997,2933.0445757250245,1874.2094522019318,986.4548872180443,887.7545649838876,53,033,001702,53033001700,3017.488184747581,438.1197636949513,77.8635875402792,43.31847475832435,19.191729323308255,407.41299677765807,137.08378088077325,18.643394199785163,4.935016111707837,102319.33404940915,399.1879699248117,1873.6611170784088,23269.149301825975,114.60204081632644,136.53544575725016,60.316863587540226,92.66863587540271,138.18045112781942,140.3737916219118,139.27712137486563,151.34049409237366,87.73361976369488,231.39742212674525,235.78410311493,214.94736842105246,95.41031149301818,14.256713211600418,6.031686358754023,14.80504833512351,53033001700
19,53033001800,3991.0,2832.0,1879.0,673.0,1206.0,53,033,001800,53033001800,2870.0,442.0,125.0,34.0,49.0,500.0,93.0,52.0,40.0,200000.0,783.0,1884.0,41941.0,104.0,68.0,95.0,176.0,160.0,123.0,150.0,131.0,137.0,168.0,225.0,136.0,131.0,41.0,34.0,5.0,53033001800
20,53033001900,3423.0,2680.0,1580.0,1099.0,481.0,53,033,001900,53033001900,2562.0,377.0,110.0,41.0,33.0,588.0,133.0,35.0,45.0,225400.0,895.0,1583.0,51760.0,80.0,39.0,69.0,73.0,83.0,110.0,96.0,104.0,84.0,152.0,172.0,259.0,102.0,48.0,80.0,32.0,53033001900
21,53033002000,3116.0,2541.0,1489.0,992.0,497.0,53,033,002000,53033002000,2351.0,440.0,120.0,55.0,43.0,422.0,200.0,36.0,26.0,218300.0,872.0,1498.0,50351.0,37.0,94.0,83.0,60.0,79.0,91.0,115.0,83.0,99.0,143.0,191.0,212.0,89.0,82.0,36.0,4.0,53033002000
22,53033002100,3637.0,2912.0,1637.0,1156.0,481.0,53,033,002100,53033002100,2757.0,435.0,176.0,57.0,67.0,505.0,221.0,63.0,19.0,233900.0,766.0,1631.0,50284.0,104.0,82.0,84.0,72.0,101.0,126.0,83.0,69.0,92.0,93.0,172.0,271.0,118.0,74.0,41.0,49.0,53033002100
23,53033002200,5396.0,4403.0,2131.0,1809.0,322.0,53,033,002200,53033002200,3933.0,653.0,257.0,204.0,163.0,771.0,359.0,106.0,78.0,322900.0,1038.0,2128.0,68450.0,49.0,74.0,43.0,69.0,86.0,77.0,79.0,109.0,68.0,217.0,316.0,283.0,198.0,110.0,148.0,202.0,53033002200
24,53033002400,2828.0,2345.0,1252.0,841.0,411.0,53,033,002400,53033002400,2105.0,329.0,216.0,103.0,109.0,396.0,185.0,61.0,38.0,275200.0,946.0,1251.0,62784.0,17.0,72.0,37.0,31.0,61.0,56.0,67.0,47.0,57.0,137.0,136.0,236.0,124.0,88.0,66.0,19.0,53033002400
