,FIPS,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,trtid_base,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,trtid00
0,28033070101.0,2252.779794809168,1745.43380387116,814.4969184101021,535.6351722245802,278.86174618552207,28,033,070101,56066141300,1426.5740719103335,17.378691860451358,10.861137243320933,10.858382702885573,3.0410357919168005,25.630144534499273,5.648539683345158,0.001492042735819636,0.0,46832.043013533235,277.1753639511145,808.4176013667039,18221.13444600124,66.46007372022996,48.21925327708175,50.391044590176996,36.488871554939266,59.510479245346914,40.39984046078645,70.37437102910322,56.03671496056865,40.40098818596785,67.76985122314649,109.02906572619446,107.29757789215789,28.670032601234674,6.950168337473746,9.557213138829544,10.862055423466051,56066141300.0
1,28033070102.0,2933.4427590804794,2272.767644810136,1060.5871911446006,697.4421368966894,363.1450542479112,28,033,070102,28033070100,1857.5831123833964,22.62586007775148,14.141162548594673,14.141162548594673,3.9595255136065086,33.37314361468343,7.35340452526923,0.0,0.0,60976.69290954024,360.88246824013606,1052.6681401173876,23723.214291522425,86.54391479739941,62.786761715760356,65.6149942254793,47.51430616327811,77.49357076629882,52.605124680772185,91.63473331489348,72.96839875074852,52.605124680772185,88.24085430323076,141.97727198789053,139.71468598011538,37.332669128289936,9.050344031100591,12.444223042763314,14.141162548594673,28033070100.0
2,28033070210.0,2795.094333032939,2476.073087182096,1010.0341061389821,854.0224281969946,156.01167794198747,28,033,070210,56066140310,1795.0597357655558,119.00072759763162,11.000454748519761,0.00045474851976183746,0.0001273295855333145,55.00107320650664,16.000236469230277,25.0,0.0,102001.96087561721,720.0116051822243,996.0338514798111,55172.762886116754,50.00278306094094,56.00201908342774,30.002110033131697,41.0015279550264,57.002492021888294,64.00169166449352,24.002946770408055,77.00234650236197,37.001691664493514,115.00283763076331,151.00456567513842,210.00449291537524,33.00120053609217,22.000291039052648,15.00040017869739,14.000454748519761,56066140310.0
3,28033070221.0,3534.0,3010.3938104448744,1266.6348162475822,1136.0750483558993,130.55976789168278,28,033,070221,28033070220,2398.608510638298,44.43133462282398,17.772533849129594,16.40541586073501,5.468471953578336,54.001160541586074,28.709477756286265,5.468471953578336,0.0,53659.381044487425,490.7953578336557,1265.2676982591877,29157.89245647969,72.45725338491296,70.40657640232108,75.87504835589942,123.72417794970985,111.4201160541586,82.71063829787234,58.78607350096711,42.38065764023211,114.83791102514506,78.60928433268859,197.5485493230174,147.64874274661508,47.165570599613154,19.823210831721468,10.253384912959381,11.620502901353964,28033070220.0
4,28033070222.0,1635.7391653828106,1393.3840008405991,586.271696993104,525.8411011346675,60.43059585843652,28,033,070222,28033070220,1110.2144548023757,20.565386025122375,8.22615441004895,7.593373301583647,2.5311244338612156,24.994853784379504,13.288403277771382,2.5311244338612156,0.0,24836.65850726318,227.1684179390441,585.6389158846388,13495.955481348,33.537398748661104,32.58822708596315,35.11935151982436,57.26669031611,51.57166033992227,38.28325706215089,27.20958766400807,19.616214362424422,53.15361311108553,36.384913736754974,91.43687017323641,68.34035971425283,21.830948242052983,9.175326072746905,4.745858313489779,5.378639421955083,28033070220.0
5,28033070310.0,2737.0,2423.0,1176.0,521.0,655.0,28,033,070310,28033070310,1667.0,89.0,16.0,6.0,0.0,51.0,22.0,0.0,0.0,83500.0,727.0,1175.0,40042.0,98.0,53.0,73.0,86.0,82.0,94.0,100.0,151.0,76.0,122.0,122.0,91.0,8.0,5.0,8.0,6.0,28033070310.0
6,28033070322.0,3072.0,2790.0,1112.0,860.0,252.0,28,033,070322,28033070322,1779.0,94.0,10.0,0.0,0.0,113.0,21.0,0.0,9.0,97900.0,712.0,1054.0,40885.0,49.0,28.0,15.0,26.0,100.0,175.0,111.0,82.0,68.0,113.0,116.0,97.0,19.0,10.0,35.0,10.0,28033070322.0
7,28033070323.0,3466.7819084298835,2776.6118283093474,1184.845185093245,893.5344130606749,291.3107720325703,28,033,070323,56066140741,1977.9659280062313,47.02944791381601,7.639511472086338,0.0,0.003011676219518211,65.34747698613214,15.267980131367775,11.295621559069872,0.005688721747978843,21968.414726256073,192.794258166077,1201.3266260394475,12217.46176840339,76.64979115902314,62.296758783801664,61.720479769270604,73.9079595668038,98.30768183300843,103.50755570916536,124.60991447146516,97.0865245122795,94.34569681213331,112.98666698358495,126.43545978477398,122.4527276610533,20.150266999446107,4.888979481899483,7.938359161465713,14.041803350272977,56066140741.0
8,28033070324.0,4769.000000000003,3819.232625737692,1629.852902316569,1229.1107196335777,400.7421826829915,28,033,070324,28033070321,2720.762177398046,64.69003787545145,10.501629525235625,0.0,0.0,89.89394873601695,21.00325905047125,15.542411697348726,0.0,30202.68651457766,265.06112921694717,1652.536422091078,16797.56645820489,105.43636043336568,85.69329692592271,84.85316656390386,101.65577380428086,135.26098828503487,142.4020963621951,171.38659385184542,133.58072756099716,129.80014093191232,155.42411697348726,173.90698493790197,168.44613758477942,27.724301946622052,6.7210428961508,10.92169470624505,19.322998326433552,28033070321.0
9,28033070325.0,3119.0000000000073,2497.8373998062248,1065.9490883466951,803.857482603719,262.09160574297607,28,033,070325,28033070321,1779.4206817581298,42.308288558090474,6.868228662027674,0.0,0.0,58.79203734695689,13.736457324055348,10.164978419800958,0.0,19753.02563199159,173.3540914295785,1080.7844622566747,10985.869109486506,68.95701576675785,56.04474588214582,55.495287589183604,66.48445344842789,88.46278516691645,93.13318065709527,112.08949176429164,87.36386858099202,84.89130626266206,101.64978419800958,113.73786664317828,110.16638773892389,18.13212366775306,4.3956663436977115,7.142957808508781,12.637540738130921,28033070321.0
10,28033070411.0,1660.999999999999,1335.6677954018883,649.1842808768487,355.2307966494384,293.9534842274103,28,033,070411,28033070410,1026.9130279807514,45.88397790055246,4.736410621992512,1.776153983247192,1.776153983247192,48.54820887542325,18.649616824095517,3.256282302619852,0.0,26760.72001425769,193.60078417394394,651.8485118517194,12531.654428800563,50.02833719479591,32.56282302619852,40.259490286936355,33.450900017822114,50.02833719479591,47.36410621992512,43.21974692568167,44.4038495811798,42.92372126180714,83.18321154874349,64.82962038852251,74.8944929602566,20.129745143468178,10.952949563357684,4.4403849581179795,9.176795580110491,28033070410.0
11,28033070412.0,3950.000000000001,3176.3322045981117,1543.8157191231514,844.7692033505616,699.0465157725897,28,033,070412,28033070410,2442.0869720192486,109.11602209944753,11.263589378007488,4.223846016752808,4.223846016752808,115.45179112457676,44.35038317590448,7.7437176973801485,0.0,63639.27998574231,460.3992158260561,1550.1514881482806,29801.345571199436,118.97166280520409,77.43717697380148,95.74050971306364,79.54909998217788,118.97166280520409,112.63589378007488,102.78025307431832,105.5961504188202,102.07627873819285,197.8167884512565,154.1703796114775,178.1055070397434,47.87025485653182,26.047050436642316,10.55961504188202,21.823204419889507,28033070410.0
