,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
514,2476,2043,1310,513,797,08,059,010803,08059010803,1786,190,32,22,11,167,49,16,6,126200,842,1289,41894,40,53,82,70,98,120,108,154,47,177,199,80,19,15,6,21
515,1111,985,440,341,99,08,059,010804,08059010804,869,88,39,53,9,81,42,23,0,245600,644,463,57260,22,15,11,10,40,39,21,8,25,57,16,55,22,60,37,25
516,5049,4257,2042,1322,720,08,059,010901,08059010901,3400,255,118,11,35,353,56,40,21,168300,614,2043,45461,123,139,99,167,111,160,129,83,122,261,194,208,131,48,44,24
517,2611,2121,1183,367,816,08,059,010902,08059010902,1828,132,32,7,5,98,22,9,7,148500,602,1190,37455,110,85,69,104,61,112,109,101,97,74,125,84,18,24,9,8
518,5821,4805,2393,1315,1078,08,059,011000,08059011000,4049,422,113,8,22,352,187,38,8,178200,703,2403,43848,119,167,145,147,154,162,197,140,137,247,287,284,132,21,31,33
519,6454,4866,2766,1223,1543,08,059,011100,08059011100,4325,338,180,42,26,377,109,36,12,178200,633,2770,40271,205,134,146,218,266,213,186,232,159,208,335,270,82,50,42,24
520,0,0,0,0,0,08,059,011201,08059011201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,4657,4058,1749,1430,319,08,059,011202,08059011202,3032,434,46,46,54,376,159,33,0,170200,761,1755,57303,99,77,40,72,67,131,71,80,92,218,287,261,140,30,35,55
522,3325,2353,1471,972,499,08,059,011300,08059011300,2324,118,31,20,3,187,44,6,0,134000,659,1475,38622,113,99,104,80,153,113,97,125,105,123,199,120,17,12,10,5
523,7090,3970,2919,979,1940,08,059,011400,08059011400,4458,329,69,47,7,237,85,6,6,115300,622,2927,31271,243,224,285,337,284,335,218,225,125,307,167,109,27,15,11,15
524,6366,4110,2945,1042,1903,08,059,011550,08059011550,4271,260,70,43,25,258,106,0,11,158200,616,2945,34527,380,210,216,261,188,244,259,152,159,191,222,232,83,59,36,53
525,4132,2445,1393,741,652,08,059,011601,08059011601,2597,161,71,24,14,234,71,9,0,158000,682,1401,45574,119,62,100,88,93,62,70,98,69,168,182,168,48,30,30,14
526,3900,2412,1533,943,590,08,059,011602,08059011602,2607,113,42,19,12,188,58,0,14,151600,691,1528,40580,99,82,64,115,177,122,92,117,58,163,177,136,52,40,13,21
527,4515,3774,1928,1501,427,08,059,011701,08059011701,3290,303,182,10,15,305,125,15,8,166300,953,1944,46797,32,134,90,86,135,215,98,159,80,156,225,306,130,48,25,25
528,5551,4581,2183,1832,351,08,059,011702,08059011702,4081,350,133,42,29,365,144,42,16,157600,1021,2173,52490,59,47,37,151,69,155,129,182,134,288,360,294,172,40,47,9
529,4450,3853,1656,1444,212,08,059,011708,08059011708,3142,346,105,21,30,287,109,15,0,164400,961,1651,58149,55,76,29,45,68,87,83,67,121,233,319,316,112,16,3,21
530,3650,3045,1571,1003,568,08,059,011709,08059011709,2450,336,91,40,10,259,102,17,0,168100,739,1579,51193,41,40,65,87,80,110,142,133,81,142,260,205,84,40,54,15
531,4201,3559,1875,1133,742,08,059,011710,08059011710,2922,404,148,28,36,276,160,25,4,175100,732,1877,48005,70,98,64,110,121,135,145,124,113,180,209,259,138,71,35,5
532,4394,3705,1852,1215,637,08,059,011711,08059011711,2976,341,137,26,47,295,87,17,0,174500,727,1856,48125,92,40,126,110,63,126,162,132,116,139,319,302,65,39,17,8
533,4060,3720,1587,1468,119,08,059,011712,08059011712,2962,522,139,54,34,347,145,23,0,187600,1230,1592,67108,10,17,45,58,62,76,61,103,44,220,223,380,113,92,56,32
534,5361,4622,1981,1729,252,08,059,011720,08059011720,3642,655,249,95,64,453,262,59,25,240500,842,1983,87320,20,42,44,0,44,69,55,58,105,125,249,372,246,267,167,120
535,2825,2531,1220,856,364,08,059,011721,08059011721,2080,353,169,41,44,400,88,0,16,255200,677,1231,67630,23,19,26,54,75,86,44,55,69,74,163,169,140,79,89,66
536,6229,5192,3234,1124,2110,08,059,011722,08059011722,4005,561,221,72,38,641,195,18,18,117300,860,3243,47034,115,61,109,236,233,211,283,249,263,583,405,306,144,10,27,8
537,3165,2646,1591,624,967,08,059,011723,08059011723,2127,270,113,16,32,175,111,20,0,143200,760,1610,37813,119,131,58,80,180,161,97,148,92,160,162,141,29,23,12,17
538,3890,3424,1248,1215,33,08,059,011724,08059011724,2412,407,195,76,70,445,161,39,20,251600,1554,1258,93638,0,7,12,20,0,10,36,33,28,79,202,303,195,189,95,49
539,2001,1789,695,628,67,08,059,011725,08059011725,1288,232,64,23,9,181,29,12,0,192800,1379,690,71705,9,6,0,33,7,20,30,49,5,106,96,175,78,44,22,10
