,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,mov_oc_25000_18,state_x,county_x,tract_x,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
523,1881.0,1319.0,725.0,86382.0,253100.0,17671.0,1278.0,163.0,1394.0,385.0,172.0,142.0,47.0,739.0,36.0,77.0,543.0,182.0,1445.0,32478.0,5.0,45.0,40.0,18.0,34.0,18.0,14.0,32.0,23.0,65.0,29.0,88.0,74.0,46.0,58.0,136.0,104.0,29.0,26.0,10.0,24.0,0.0,0.0,0.0,15.0,2.0,1.0,1.0,0.0,39,035,184104,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,39035184104,239800.0,21573.0,924.0,96.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37560.0,39,035,184104
524,3106.0,2868.0,1329.0,80080.0,191500.0,7265.0,1317.0,645.0,2509.0,515.0,256.0,59.0,40.0,1376.0,72.0,36.0,1207.0,122.0,1063.0,37217.0,72.0,28.0,39.0,62.0,53.0,41.0,43.0,26.0,54.0,105.0,105.0,205.0,207.0,79.0,123.0,87.0,78.0,0.0,12.0,12.0,22.0,6.0,16.0,0.0,10.0,66.0,33.0,0.0,0.0,39,035,182106,0.0,33.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39035182106,190100.0,10968.0,972.0,106.0,78.0,36.0,0.0,1.0,0.0,8.0,8.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29977.0,39,035,182106
525,1546.0,321.0,671.0,60231.0,151100.0,29177.0,1057.0,64.0,1081.0,235.0,174.0,56.0,45.0,765.0,120.0,349.0,409.0,262.0,1134.0,33750.0,25.0,20.0,35.0,64.0,47.0,27.0,20.0,9.0,17.0,69.0,93.0,112.0,44.0,22.0,20.0,47.0,85.0,21.0,0.0,3.0,18.0,0.0,8.0,15.0,20.0,41.0,0.0,0.0,26.0,39,035,183402,0.0,15.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39035183402,141200.0,16750.0,948.0,42.0,161.0,0.0,0.0,9.0,134.0,5.0,13.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25189.0,39,035,183402
526,3166.0,1636.0,1484.0,74237.0,140500.0,32797.0,1105.0,64.0,2329.0,708.0,422.0,197.0,277.0,1685.0,179.0,372.0,677.0,807.0,1190.0,51583.0,82.0,51.0,60.0,66.0,67.0,61.0,69.0,17.0,24.0,75.0,199.0,239.0,98.0,42.0,117.0,217.0,263.0,62.0,11.0,28.0,67.0,59.0,0.0,9.0,27.0,43.0,10.0,0.0,0.0,39,035,183501,0.0,0.0,17.0,0.0,16.0,70.0,0.0,26.0,13.0,15.0,16.0,0.0,0.0,0.0,20.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,39035183501,157300.0,26824.0,956.0,74.0,169.0,39.0,28.0,13.0,18.0,41.0,8.0,8.0,14.0,37.0,0.0,19.0,7.0,0.0,0.0,11.0,0.0,0.0,94.0,18.0,8.0,22.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32352.0,39,035,183501
527,5859.0,4993.0,2181.0,80026.0,194900.0,9550.0,1267.0,123.0,4149.0,1117.0,385.0,241.0,60.0,2318.0,33.0,78.0,1665.0,516.0,1325.0,39260.0,31.0,28.0,102.0,45.0,105.0,137.0,126.0,16.0,44.0,201.0,158.0,304.0,123.0,301.0,328.0,132.0,472.0,26.0,16.0,43.0,74.0,67.0,47.0,44.0,155.0,209.0,39.0,60.0,18.0,39,035,186201,0.0,71.0,21.0,0.0,0.0,162.0,0.0,41.0,53.0,18.0,18.0,17.0,0.0,15.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,39035186201,182600.0,8134.0,1068.0,100.0,322.0,44.0,49.0,86.0,9.0,8.0,27.0,37.0,62.0,83.0,0.0,5.0,5.0,0.0,24.0,36.0,13.0,0.0,86.0,38.0,0.0,0.0,0.0,33.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,37049.0,39,035,186201
528,3476.0,3055.0,1281.0,102774.0,200400.0,7613.0,1458.0,202.0,2510.0,769.0,414.0,68.0,20.0,1373.0,0.0,36.0,1242.0,39.0,1307.0,40070.0,23.0,8.0,8.0,25.0,32.0,22.0,51.0,31.0,45.0,77.0,89.0,190.0,257.0,196.0,133.0,94.0,77.0,15.0,0.0,15.0,0.0,34.0,13.0,0.0,0.0,40.0,0.0,0.0,0.0,39,035,186203,4.0,26.0,0.0,0.0,10.0,34.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39035186203,195400.0,4452.0,2001.0,-333333333.0,31.0,0.0,0.0,0.0,0.0,7.0,9.0,6.0,9.0,56.0,0.0,0.0,14.0,35.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39245.0,39,035,186203
529,4124.0,3505.0,1411.0,122039.0,312000.0,16419.0,1129.0,56.0,2780.0,1094.0,398.0,140.0,25.0,1465.0,37.0,58.0,1227.0,184.0,1642.0,49663.0,22.0,10.0,24.0,29.0,32.0,30.0,45.0,27.0,52.0,115.0,84.0,146.0,110.0,144.0,210.0,331.0,183.0,0.0,38.0,7.0,23.0,34.0,7.0,0.0,74.0,73.0,15.0,8.0,8.0,39,035,186206,18.0,0.0,9.0,0.0,15.0,20.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39035186206,304800.0,21332.0,1018.0,123.0,78.0,9.0,0.0,12.0,14.0,31.0,0.0,12.0,0.0,73.0,10.0,0.0,0.0,0.0,36.0,8.0,9.0,10.0,38.0,0.0,11.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43407.0,39,035,186206
530,3265.0,2355.0,1340.0,87917.0,175500.0,11591.0,1075.0,205.0,2329.0,577.0,485.0,190.0,83.0,1401.0,320.0,508.0,950.0,390.0,1424.0,53310.0,75.0,22.0,11.0,51.0,52.0,37.0,19.0,29.0,23.0,124.0,175.0,139.0,82.0,134.0,164.0,203.0,86.0,8.0,0.0,7.0,12.0,8.0,10.0,22.0,19.0,102.0,20.0,9.0,0.0,39,035,187104,0.0,10.0,18.0,0.0,45.0,74.0,0.0,8.0,8.0,17.0,21.0,20.0,0.0,0.0,17.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,39035187104,176300.0,9380.0,1082.0,121.0,98.0,0.0,0.0,0.0,30.0,35.0,13.0,13.0,7.0,46.0,22.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48878.0,39,035,187104
531,2629.0,178.0,1208.0,34315.0,73300.0,22541.0,815.0,43.0,1612.0,190.0,62.0,0.0,0.0,1439.0,89.0,85.0,164.0,1044.0,818.0,22163.0,110.0,125.0,116.0,32.0,62.0,182.0,54.0,44.0,73.0,145.0,61.0,155.0,18.0,6.0,25.0,0.0,434.0,79.0,104.0,76.0,23.0,56.0,13.0,10.0,73.0,30.0,15.0,0.0,0.0,39,035,188107,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39035188107,71800.0,26016.0,786.0,26.0,428.0,84.0,18.0,142.0,149.0,0.0,29.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22544.0,39,035,188107
532,4932.0,4179.0,1936.0,102155.0,338700.0,12247.0,1639.0,1078.0,3577.0,1042.0,716.0,287.0,139.0,2029.0,8.0,116.0,1554.0,382.0,1580.0,48276.0,50.0,49.0,83.0,48.0,92.0,59.0,31.0,63.0,52.0,55.0,154.0,207.0,209.0,112.0,205.0,467.0,161.0,33.0,23.0,26.0,33.0,7.0,0.0,7.0,32.0,101.0,5.0,9.0,17.0,39,035,189108,24.0,0.0,15.0,6.0,25.0,74.0,13.0,0.0,0.0,9.0,8.0,13.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39035189108,279200.0,20528.0,2001.0,-333333333.0,333.0,48.0,29.0,70.0,47.0,55.0,15.0,9.0,60.0,87.0,45.0,5.0,1.0,1.0,18.0,0.0,10.0,7.0,63.0,9.0,0.0,16.0,0.0,9.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37185.0,39,035,189108
