,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
411,6363.0,5258.0,2124.0,55.0,255.0,773.0,1180.0,349.0,1112.0,457.0,145500.0,721.0,42682.0,1691.0,478.0,43.0,67.0,27.0,56.0,41.0,43.0,56.0,79.0,85.0,108.0,73.0,68.0,65.0,99.0,142.0,137.0,30.0,73.0,78.0,102.0,339.0,219.0,61.0,14.0,19.0,53,033,023300,53033023300
412,3096.0,2623.0,1153.0,85.0,198.0,363.0,558.0,237.0,423.0,156.0,143800.0,538.0,42665.0,687.0,518.0,21.0,47.0,83.0,31.0,35.0,24.0,32.0,23.0,32.0,48.0,28.0,48.0,23.0,48.0,50.0,53.0,88.0,30.0,96.0,38.0,125.0,102.0,19.0,19.0,10.0,53,033,023401,53033023401
413,7463.0,6626.0,2668.0,73.0,138.0,652.0,1085.0,426.0,1812.0,802.0,209800.0,816.0,60566.0,2096.0,526.0,0.0,24.0,31.0,30.0,52.0,18.0,43.0,8.0,22.0,26.0,113.0,91.0,66.0,124.0,102.0,124.0,77.0,58.0,146.0,154.0,485.0,444.0,208.0,41.0,181.0,53,033,023402,53033023402
414,3224.0,2954.0,1333.0,40.0,86.0,266.0,504.0,198.0,863.0,352.0,187800.0,638.0,47981.0,954.0,370.0,20.0,26.0,7.0,19.0,38.0,20.0,24.0,54.0,55.0,25.0,37.0,38.0,67.0,63.0,31.0,77.0,58.0,39.0,105.0,50.0,214.0,138.0,42.0,51.0,35.0,53,033,023500,53033023500
415,3203.0,2784.0,1352.0,104.0,112.0,395.0,622.0,141.0,682.0,277.0,179100.0,634.0,37917.0,663.0,685.0,17.0,62.0,75.0,36.0,23.0,60.0,73.0,61.0,30.0,37.0,75.0,33.0,86.0,48.0,12.0,25.0,56.0,25.0,24.0,48.0,159.0,146.0,73.0,27.0,41.0,53,033,023601,53033023601
416,9713.0,7754.0,4448.0,171.0,404.0,1154.0,1758.0,632.0,1703.0,676.0,178000.0,562.0,31786.0,1545.0,2891.0,161.0,244.0,196.0,131.0,198.0,289.0,346.0,183.0,165.0,176.0,189.0,145.0,252.0,139.0,124.0,138.0,174.0,73.0,141.0,117.0,387.0,266.0,74.0,28.0,112.0,53,033,023602,53033023602
417,4234.0,3792.0,1660.0,14.0,43.0,401.0,617.0,212.0,985.0,546.0,272200.0,689.0,53077.0,1098.0,569.0,17.0,42.0,22.0,8.0,27.0,53.0,58.0,42.0,110.0,17.0,28.0,14.0,95.0,18.0,76.0,24.0,72.0,41.0,103.0,41.0,175.0,204.0,132.0,74.0,167.0,53,033,023700,53033023700
418,2181.0,1954.0,1087.0,6.0,72.0,298.0,411.0,102.0,504.0,218.0,162900.0,650.0,37031.0,456.0,585.0,18.0,67.0,59.0,43.0,21.0,50.0,51.0,43.0,74.0,41.0,44.0,13.0,24.0,53.0,49.0,6.0,17.0,55.0,72.0,26.0,125.0,73.0,42.0,21.0,0.0,53,033,023801,53033023801
419,1091.0,1034.0,610.0,88.0,99.0,212.0,271.0,78.0,193.0,72.0,187500.0,560.0,24919.0,191.0,447.0,42.0,81.0,31.0,16.0,40.0,28.0,37.0,31.0,54.0,22.0,5.0,4.0,7.0,19.0,26.0,22.0,14.0,16.0,34.0,22.0,19.0,13.0,22.0,0.0,5.0,53,033,023802,53033023802
420,6323.0,5797.0,2719.0,51.0,197.0,604.0,1001.0,280.0,1721.0,842.0,262300.0,581.0,54910.0,1891.0,812.0,67.0,74.0,28.0,27.0,89.0,100.0,91.0,100.0,105.0,73.0,81.0,49.0,65.0,35.0,53.0,68.0,63.0,40.0,154.0,111.0,311.0,374.0,217.0,74.0,270.0,53,033,023900,53033023900
