,total_hh,lim_english_spanish_hh,lim_english_indoeuro_hh,lim_english_api_hh,lim_english_other_hh,isolated_hh,prop_isolated_hh,prop_isolated_hh_spanish
95,626,0,0,27,0,27.0,0.04313099,0.0
96,0,0,0,0,0,0.0,,
97,1310,8,0,0,14,22.0,0.016793894,0.0061068702
98,1609,76,0,0,0,76.0,0.047234308,0.047234308
99,1154,28,0,0,19,47.0,0.040727902,0.024263432
100,1104,89,0,0,0,89.0,0.080615945,0.080615945
101,1477,18,12,0,0,30.0,0.020311441,0.012186865
102,1925,10,9,20,0,39.0,0.02025974,0.005194805
103,1574,33,0,0,0,33.0,0.020965692,0.020965692
104,1302,0,0,0,0,0.0,0.0,0.0
105,1811,14,0,0,0,14.0,0.0077305357,0.0077305357
106,1673,10,0,38,0,48.0,0.028690975,0.0059772865
107,1218,0,0,0,0,0.0,0.0,0.0
108,962,2,8,5,0,15.0,0.0155925155,0.002079002
109,1735,0,0,10,0,10.0,0.0057636886,0.0
110,860,0,0,0,0,0.0,0.0,0.0
111,1226,0,0,0,0,0.0,0.0,0.0
112,1625,0,9,0,0,9.0,0.0055384617,0.0
113,1827,11,0,0,0,11.0,0.0060207993,0.0060207993
114,2309,0,0,0,0,0.0,0.0,0.0
115,836,0,0,0,0,0.0,0.0,0.0
116,2191,0,0,0,0,0.0,0.0,0.0
117,1249,0,0,0,0,0.0,0.0,0.0
118,1213,0,0,10,0,10.0,0.008244023,0.0
119,1344,0,0,0,0,0.0,0.0,0.0
120,1666,0,0,0,0,0.0,0.0,0.0
121,2036,0,0,0,0,0.0,0.0,0.0
122,663,0,6,11,0,17.0,0.025641026,0.0
123,1701,30,0,29,0,59.0,0.034685478,0.017636685
124,1180,0,0,0,0,0.0,0.0,0.0
125,2402,37,0,0,0,37.0,0.01540383,0.01540383
126,1672,0,0,0,0,0.0,0.0,0.0
127,1360,5,0,0,0,5.0,0.0036764706,0.0036764706
128,1480,9,0,0,23,32.0,0.021621622,0.006081081
129,1297,0,9,0,0,9.0,0.0069390903,0.0
130,1136,0,0,0,0,0.0,0.0,0.0
131,1289,109,13,0,0,122.0,0.09464701,0.084561676
