,FIPS,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,trtid_base,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,trtid00
323,8014031200.0,2925.0000000000005,2469.650438720634,1048.9598075290123,671.4336258137561,377.5261817152562,08,014,031200,8013013107,1774.2074724030572,241.7492216246816,120.8746108123408,14.074440984998587,25.66515709029154,250.02830455703372,77.82337956410983,30.632606849702807,6.623266345881688,154570.47834701388,716.1406736484576,1050.6156241154827,48152.80215114634,42.22332295499576,7.451174639116899,35.60005660911407,47.190772714407025,17.38607415793943,102.66062836116616,52.9861307670535,44.70704783470139,39.739598075290125,145.71185960939712,115.90716105292954,177.17237475233514,69.54429663175772,76.1675629776394,30.632606849702807,45.5349561279366,8013013107.0
324,8014031300.0,453.2315797211682,402.0534439398055,152.1876980654839,141.58361198222326,10.604086083260615,08,014,031300,16014021428,293.90309981490117,21.646600410982963,20.293847532191624,5.342414462344596,4.8018923663519875,25.567976574896825,16.21137190221238,3.203006202500811,0.00697849973127692,62461.65659614892,257.444013062334,148.10592028547777,15352.509063024054,2.224894881551928,1.0991882912865378,0.04431347329360844,3.4426137905430556,6.305974811584915,2.377620147939775,0.035241423642948445,3.788539621760156,5.722534942244954,7.584057743251589,29.815738770780214,29.937060788377316,26.001029775027767,5.874562358659673,13.351151206049597,10.501398259483727,16014021428.0
325,8014031400.0,56.85797667878962,50.513021079382106,19.079707473836738,17.779327881025303,1.3003795928114346,08,014,031400,8001008520,36.881455692669135,2.712860874658338,2.5559185100086816,0.672610134212811,0.6053491207915299,3.206108306414399,2.0402507404455266,0.4035660805276866,0.0,7869.538570289888,32.419808469057486,18.564039704273583,1933.619613834989,0.2690440536851244,0.1345220268425622,0.0,0.4259864183347803,0.7847118232482795,0.2914643914922181,0.0,0.4708270939489677,0.7174508098269984,0.9416541878979354,3.744196413784648,3.7666167515917417,3.27336931983568,0.7398711476340921,1.6815253355320274,1.3227999306185283,8001008520.0
326,8014980100.0,0.646015969073853,0.5473860064146018,0.23958088159481936,0.16044465390584003,0.07913622768897934,08,014,980100,16026026013,0.40359674052874384,0.0587021117102302,0.027792856058873164,0.003803581110737718,0.005976919275052554,0.05834590747400001,0.01923403500423142,0.006784683266406378,0.0018849741050416585,33.302486796261306,0.15415242049036312,0.2410332138816766,10.308511653442984,0.009881399087753474,0.0022648736270831564,0.008025280534494073,0.010920007493365361,0.006679390132669839,0.02128182188802473,0.012280804317454232,0.011915619759127968,0.009434233764403175,0.030129198460489053,0.030476613833172572,0.038044025595275636,0.01785890613352612,0.01613693626578552,0.006063294471849926,0.009640808517201721,16026026013.0
327,8014980200.0,5.566339341430497,3.4319312679950507,2.114189216067648,1.3863103508268941,0.7278788652407535,08,014,980200,8013012908,3.3844609072184797,0.3199853948642926,0.048349441531692565,0.01758161510243366,0.0,0.3419624137423347,0.06856829889949127,0.004395403775608415,0.01758161510243366,93.35837619392274,0.6953528773012513,2.13616623494569,35.769795925901285,0.2285609963316376,0.08087542947119483,0.11164325590045375,0.1599926974321463,0.20482581594335214,0.1652671819628764,0.08878715626728999,0.1353784362887392,0.07911726796095148,0.28833848767991205,0.2900966491901554,0.14768556686044276,0.08878715626728999,0.014065292081946928,0.03164690718438059,0.021097938122920393,8013012908.0
328,8014980300.0,0.5853885794384132,0.4942581750537183,0.20993131337347,0.1343759235563411,0.0755553898171289,08,014,980300,8013013107,0.3550771938116387,0.04838196014605623,0.024190980073028116,0.002816757953708753,0.0051364409744100795,0.05003887658941432,0.015575014567566046,0.006130590840424933,0.001325533154686472,30.93462999749554,0.1433232723504748,0.21026269666214162,9.636957417859323,0.008450273861126258,0.001491224799022281,0.007124740706439787,0.009444423727141113,0.003479524531051989,0.020545763897640318,0.010604265237491776,0.008947348794133687,0.007953198928118832,0.029161729403102386,0.02319683020701326,0.03545801188786313,0.013918098124207957,0.015243631278894429,0.006130590840424933,0.009113040438469494,8013013107.0
329,8019014700.0,4791.0179990009865,4568.016520611796,1997.0080315014693,1778.0044885286602,219.0035429728091,08,019,014700,32156049152,3539.012143696889,546.0008246459632,230.0002855938921,97.00006563423221,85.00009974300744,588.0007001322148,189.0002763728483,28.000043605699414,43.00001893535311,238701.4473660858,883.0061726914389,1996.0081344380512,66394.38866101492,67.00057694808086,56.0005286524146,43.00067596384171,76.00062579550791,78.00052258304576,77.00072818032885,76.00057446515724,138.00051629629178,77.00050232678589,225.00084134108135,218.00065848298175,301.00096409915267,256.0003297513523,91.00009808772502,132.99998384004678,84.00000762425663,32156049152.0
330,8019014800.0,1881.982000999012,1731.9834793882026,835.9919684985299,484.99551147133934,350.9964570271906,08,019,014800,16038029500,1277.9878563031102,94.99917535403667,33.99971440610787,8.99993436576778,11.99990025699255,83.99929986778506,31.99972362715166,4.999956394300582,2.9999810646468816,147398.55263391405,624.9938273085606,845.9918655619483,39642.61133898505,57.9994230519191,52.99947134758536,66.99932403615824,62.99937420449205,52.99947741695421,72.9992718196711,57.99942553484272,53.999483703708194,50.99949767321407,87.99915865891857,69.99934151701818,101.99903590084723,38.999670248647654,11.999901912274963,2.0000161599531983,2.999992375743364,16038029500.0
331,8019014900.0,2649.0,2459.0,1186.0,796.0,390.0,08,019,014900,8019014900,1885.0,179.0,52.0,13.0,14.0,158.0,80.0,20.0,5.0,155600.0,625.0,1186.0,41977.0,86.0,51.0,65.0,68.0,105.0,87.0,97.0,97.0,77.0,127.0,128.0,107.0,36.0,23.0,12.0,20.0,8019014900.0
332,8031000102.0,3414.0,2039.0,1502.0,1079.0,423.0,08,031,000102,8031000102,2403.0,129.0,101.0,8.0,0.0,245.0,94.0,46.0,0.0,150100.0,682.0,1505.0,41958.0,79.0,105.0,86.0,93.0,114.0,111.0,123.0,88.0,113.0,193.0,150.0,148.0,63.0,25.0,14.0,0.0,8031000102.0
